127.0.0.1 - - [13/Jul/2025:03:12:02 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:12:04 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:12:04 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:16:17 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:18:53 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:18:55 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:18:55 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:18:56 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:18:56 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:20:53 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:20:54 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:20:54 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:20:54 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:20:55 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:21:34 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:21:34 +0530] "GET /docs/5.3/assets/brand/bootstrap-logo.svg HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:21:49 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1408
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:21:49 +0530] "GET /docs/5.3/assets/brand/bootstrap-logo.svg HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:21:51 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1408
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:21:51 +0530] "GET /docs/5.3/assets/brand/bootstrap-logo.svg HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:22:02 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1408
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:22:02 +0530] "GET /docs/5.3/assets/brand/bootstrap-logo.svg HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:22:03 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1408
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:22:03 +0530] "GET /docs/5.3/assets/brand/bootstrap-logo.svg HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:22:03 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1408
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:22:03 +0530] "GET /docs/5.3/assets/brand/bootstrap-logo.svg HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:22:03 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 1408
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:22:03 +0530] "GET /docs/5.3/assets/brand/bootstrap-logo.svg HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:22:33 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:22:33 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:22:43 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:22:43 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:23:17 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:23:17 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:23:18 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:23:18 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:23:19 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:23:19 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:23:37 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:23:37 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:23:38 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:23:38 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:23:38 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2244
0:0:0:0:0:0:0:1 - - [13/Jul/2025:03:23:38 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 2244
