127.0.0.1 - - [25/Aug/2025:02:40:52 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:40:52 +0530] "GET /Hospital_Management_System/WEB-INF/classes/com/DAO/DoctorDao.java HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:40:53 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:40:57 +0530] "GET /Hospital_Management_System HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:40:59 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23499
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:41:01 +0530] "GET /Hospital_Management_System/Admin.jsp HTTP/1.1" 200 8901
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:41:06 +0530] "POST /Hospital_Management_System/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:41:06 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20401
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:41:09 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 14425
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:41:33 +0530] "POST /Hospital_Management_System/addDoctor HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:41:33 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 14425
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:42:02 +0530] "POST /Hospital_Management_System/addDoctor HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:42:02 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 14842
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:42:06 +0530] "GET /Hospital_Management_System/admin/$%7BpageContext.request.contextPath%7D/EditDoctorServlet?id=6 HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:53:09 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:53:09 +0530] "GET /Hospital_Management_System/Admin.jsp HTTP/1.1" 200 9053
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:53:15 +0530] "POST /Hospital_Management_System/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:53:15 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20401
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:53:17 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15254
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:53:52 +0530] "POST /Hospital_Management_System/addDoctor HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:53:52 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15701
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:55:28 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15701
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:55:54 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15494
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:56:29 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15550
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:56:30 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15550
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:56:32 +0530] "GET /Hospital_Management_System/admin/$%7BpageContext.request.contextPath%7D/EditDoctorServlet?id=1 HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:56:50 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15578
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:56:53 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15578
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:56:53 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15578
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:56:53 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15578
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:56:54 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15578
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:56:54 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15578
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:57:04 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15564
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:57:05 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15564
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:57:06 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15564
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:57:06 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15564
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:57:06 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15564
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:57:06 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15564
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:57:06 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15564
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:57:07 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15564
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:58:08 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15578
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:58:15 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15578
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:58:17 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15578
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:58:18 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15578
0:0:0:0:0:0:0:1 - - [25/Aug/2025:02:58:23 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15655
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:16:18 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15683
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:19:56 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15622
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:19:58 +0530] "GET /Hospital_Management_System/EditDoctorServlet?id=1 HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:23:09 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:23:09 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:23:10 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:23:10 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:23:10 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:23:10 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:23:11 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:23:21 +0530] "GET /Hospital_Management_System/admin/$%7BpageContext.request.contextPath%7D/DeleteDoctorServlet?id=2 HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:23:34 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15629
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:23:35 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15629
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:23:35 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15629
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:23:35 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15629
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:23:35 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15629
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:24:18 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15594
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:24:18 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15594
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:24:18 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15594
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:24:19 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15594
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:24:19 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15594
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:24:19 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15594
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:24:20 +0530] "GET /Hospital_Management_System/admin/Update_Doctor.jsp HTTP/1.1" 200 11414
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:25:10 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15489
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:25:10 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15489
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:25:10 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 15489
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:25:12 +0530] "GET /Hospital_Management_System/admin/Update_Doctor.jsp HTTP/1.1" 200 11414
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:25:16 +0530] "GET /Hospital_Management_System/admin/$%7BpageContext.request.contextPath%7D/DeleteDoctorServlet?id=1 HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [25/Aug/2025:03:25:19 +0530] "GET /Hospital_Management_System/admin/Update_Doctor.jsp HTTP/1.1" 200 11414
