127.0.0.1 - - [04/Sep/2025:20:24:24 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:24:25 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:24:25 +0530] "GET /Hospital_Management_System/Admin.jsp HTTP/1.1" 200 8933
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:24:26 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:24:35 +0530] "GET /Hospital_Management_System HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:24:35 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23537
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:24:35 +0530] "GET /Hospital_Management_System/assets/doctor_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:24:39 +0530] "GET /Hospital_Management_System/Admin.jsp HTTP/1.1" 200 8933
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:24:46 +0530] "POST /Hospital_Management_System/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:24:46 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20608
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:24:50 +0530] "GET /Hospital_Management_System/admin/doctor_dashboard.jsp HTTP/1.1" 200 13359
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:24:52 +0530] "GET /Hospital_Management_System/admin/admin_patients.jsp HTTP/1.1" 200 17044
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:24:58 +0530] "GET /Hospital_Management_System/admin/User/User_index.jsp HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:25:00 +0530] "GET /Hospital_Management_System/admin/User/User_index.jsp HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:25:03 +0530] "GET /Hospital_Management_System/admin/User/User_index.jsp HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:25:29 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20608
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:25:30 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20608
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:25:30 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20608
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:25:30 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20608
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:25:30 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20608
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:25:31 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20608
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:25:31 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20608
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:25:31 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20608
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:25:32 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20608
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:25:32 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20608
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:25:33 +0530] "GET /Hospital_Management_System/admin/User/User_index.jsp HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:25:38 +0530] "GET /Hospital_Management_System/admin/index.jsp HTTP/1.1" 200 20611
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:25:39 +0530] "GET /Hospital_Management_System/User/User_index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2025:20:25:39 +0530] "GET /Hospital_Management_System/User/user_index.jsp HTTP/1.1" 404 754
