127.0.0.1 - - [23/Oct/2025:01:07:42 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Oct/2025:01:07:47 +0530] "GET /Hospital_Management_System/admin/admin_patients.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2025:01:07:47 +0530] "GET /Hospital_Management_System/Admin.jsp HTTP/1.1" 200 8933
0:0:0:0:0:0:0:1 - - [23/Oct/2025:01:07:47 +0530] "GET /Hospital_Management_System/assets/logo.png HTTP/1.1" 200 1139917
0:0:0:0:0:0:0:1 - - [23/Oct/2025:01:07:47 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [23/Oct/2025:01:07:56 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 23537
0:0:0:0:0:0:0:1 - - [23/Oct/2025:01:07:56 +0530] "GET /Hospital_Management_System/assets/doctor_1.jpeg HTTP/1.1" 200 2390529
0:0:0:0:0:0:0:1 - - [23/Oct/2025:01:07:56 +0530] "GET /Hospital_Management_System/assets/doctor_3.jpeg HTTP/1.1" 200 2156893
0:0:0:0:0:0:0:1 - - [23/Oct/2025:01:07:56 +0530] "GET /Hospital_Management_System/assets/doctor_4.jpeg HTTP/1.1" 200 1252174
0:0:0:0:0:0:0:1 - - [23/Oct/2025:01:07:56 +0530] "GET /Hospital_Management_System/assets/doctor_2.jpg HTTP/1.1" 200 1845990
0:0:0:0:0:0:0:1 - - [23/Oct/2025:01:08:30 +0530] "GET /Hospital_Management_System/User.jsp HTTP/1.1" 200 9389
0:0:0:0:0:0:0:1 - - [23/Oct/2025:01:08:33 +0530] "GET /Hospital_Management_System/Signup.jsp HTTP/1.1" 200 9935
0:0:0:0:0:0:0:1 - - [23/Oct/2025:01:09:00 +0530] "POST /Hospital_Management_System/user_register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2025:01:09:00 +0530] "GET /Hospital_Management_System/Signup.jsp HTTP/1.1" 200 10019
0:0:0:0:0:0:0:1 - - [23/Oct/2025:02:02:56 +0530] "POST /Hospital_Management_System/user_register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2025:02:02:56 +0530] "GET /Hospital_Management_System/User.jsp HTTP/1.1" 200 9389
0:0:0:0:0:0:0:1 - - [23/Oct/2025:02:03:09 +0530] "POST /Hospital_Management_System/UserLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2025:02:03:11 +0530] "GET /Hospital_Management_System/User/User_index.jsp HTTP/1.1" 200 25536
